ID,Variable,Arbutus-Ridge ,Downtown ,Dunbar-Southlands ,Fairview ,Grandview-Woodland ,Hastings-Sunrise ,Kensington-Cedar Cottage ,Kerrisdale ,Killarney ,Kitsilano ,Marpole ,Mount Pleasant ,Oakridge ,Renfrew-Collingwood ,Riley Park ,Shaughnessy ,South Cambie ,Strathcona ,Sunset ,Victoria-Fraserview,West End ,West Point Grey ,Vancouver CSD ,Vancouver CMA 
1934,"      $100,000 and over",1045,5890,2225,2510,1095,945,1520,1195,845,3550,775,2045,690,1000,1385,905,605,300,730,645,2410,1330,33555,118450
1935,"        $100,000 to $149,999",445,3350,895,1460,765,625,1035,460,595,1965,465,1300,380,765,760,305,325,205,565,435,1600,525,19150,73715
1936,"        $150,000 and over",605,2540,1330,1050,325,325,480,740,250,1585,305,745,310,235,625,595,280,95,170,210,810,810,14400,44735
1937,  Percentage with total income,92.7,98.3,93.1,98.6,98,97,96.7,94.4,95.1,97.3,96.2,98.8,93.9,96.9,97.1,94.2,95.8,98,94.8,95.8,98.7,94.6,96.8,95.9
1938,  Total - Total income groups in 2015 for females aged 15 years and over in private households - 25% sample data,7265,26085,9270,16605,13375,15140,21535,6570,13180,20750,11135,15020,6265,23280,10035,3515,3525,4120,15835,13820,21235,5870,282730,1065780
1939,    Without total income,455,795,505,285,225,560,680,325,525,470,470,200,290,800,300,180,110,110,830,505,470,250,9300,44340
1940,    With total income,6815,25290,8765,16320,13145,14580,20855,6245,12655,20280,10665,14825,5975,22480,9735,3340,3420,4015,15005,13315,20755,5625,273435,1021440
1941,"      Under $10,000 (including loss)",1630,4675,1840,1875,1650,2405,3450,1360,2305,2655,2555,1720,1420,4615,1485,650,510,625,2900,2690,3060,1110,47045,193985
1942,"      $10,000 to $19,999",1115,4055,1250,2090,2865,3710,4770,920,2830,2895,1970,2250,1240,5455,1650,370,505,1590,3900,3300,3525,790,52935,202040
1943,"      $20,000 to $29,999",800,2520,970,1935,1870,2315,3405,745,1845,2320,1415,1820,730,3660,1235,345,420,545,2430,2070,3040,605,36965,142380
1944,"      $30,000 to $39,999",650,2255,740,1720,1665,1635,2645,505,1470,2045,1185,1655,595,2880,1075,280,340,315,1895,1685,2500,540,30225,116180
1945,"      $40,000 to $49,999",525,2260,635,1810,1355,1345,1995,500,1175,2045,1040,1730,460,2170,1010,285,280,255,1555,1220,2420,490,26505,101010
1946,"      $50,000 to $59,999",370,1765,555,1530,1075,890,1340,380,875,1760,745,1335,355,1380,740,225,275,195,770,770,1825,390,19475,74355
1947,"      $60,000 to $69,999",350,1630,460,1240,785,670,870,360,580,1355,500,1150,190,775,530,185,225,105,470,490,1330,305,14510,52010
1948,"      $70,000 to $79,999",260,1470,360,1090,540,515,690,235,435,1170,355,845,235,540,465,150,205,120,295,320,1025,295,11615,38245
1949,"      $80,000 to $89,999",235,1150,390,875,410,295,615,225,430,950,230,600,160,370,405,190,175,90,255,255,635,235,9140,29600
1950,"      $90,000 to $99,999",200,820,285,555,285,230,350,165,230,700,190,440,145,220,270,60,100,40,180,195,375,125,6140,19865
1951,"      $100,000 and over",675,2695,1290,1595,650,560,720,855,475,2390,480,1265,445,415,865,595,385,130,350,330,1030,740,18875,51775
1952,"        $100,000 to $149,999",405,1825,655,1125,495,435,585,460,390,1530,320,890,250,335,560,275,205,90,270,235,725,390,12420,35990
1953,"        $150,000 and over",270,865,630,470,160,120,140,390,90,860,160,375,195,80,305,315,175,45,80,90,300,350,6450,15785
1954,  Percentage with total income,93.7,97,94.6,98.3,98.3,96.3,96.8,95.1,96.1,97.7,95.8,98.7,95.4,96.5,97,94.9,96.7,97.5,94.8,96.4,97.8,95.7,96.7,95.8
