ID,Variable,Arbutus-Ridge ,Downtown ,Dunbar-Southlands ,Fairview ,Grandview-Woodland ,Hastings-Sunrise ,Kensington-Cedar Cottage ,Kerrisdale ,Killarney ,Kitsilano ,Marpole ,Mount Pleasant ,Oakridge ,Renfrew-Collingwood ,Riley Park ,Shaughnessy ,South Cambie ,Strathcona ,Sunset ,Victoria-Fraserview,West End ,West Point Grey ,Vancouver CSD ,Vancouver CMA 
1874,      Average total income in 2015 among recipients ($),83073,74738,97207,71075,46501,42461,42676,96603,43904,72653,42306,60100,53357,37413,60673,172746,76952,33190,38556,38075,52908,109517,58349,55848
1875,      Median total income in 2015 among recipients ($),35590,48196,49647,52891,33964,30468,31877,40578,34105,48959,28997,46060,30565,28735,41076,48056,46166,17518,28772,27427,39897,49438,36705,38845
1876,    Number of after-tax income recipients aged 15 years and over in private households - 25% sample data,5370,28430,7940,13360,12320,13860,19630,5210,10975,17265,9885,14050,4890,21090,8690,3040,2875,4595,14140,12140,23260,4900,257295,959980
1877,      Average after-tax income in 2015 among recipients ($),62605,56702,70884,55874,38070,35202,35437,68972,36589,55283,35113,47875,41488,31682,48057,119891,58547,28280,32491,32061,42816,82126,45930,44592
1878,      Median after-tax income in 2015 among recipients ($),30509,41442,42430,45011,29715,27505,28306,35820,29842,41904,26171,39264,27511,25953,35734,42556,39434,17379,25984,25264,34706,41430,32212,34017
1879,    Number of market income recipients aged 15 years and over in private households - 25% sample data,4950,25155,7465,12640,10880,12385,17535,4820,9865,16405,8885,13105,4395,18885,8025,2825,2675,2935,12640,10785,21230,4520,232485,875330
1880,      Average market income in 2015 among recipients ($),86176,81349,99723,72019,48507,42932,43847,100276,44621,73490,43605,61745,55226,37786,62165,181659,79436,41390,39031,38193,54559,114675,60814,57128
1881,      Median market income in 2015 among recipients ($),35924,54254,47955,53368,36542,30882,33139,42781,34558,48843,30319,47576,33305,29220,42304,49218,48338,22379,29144,27462,41568,50583,38947,39597
1882,    Number of government transfers recipients aged 15 years and over in private households - 25% sample data,3275,15525,4410,7025,8065,9340,12735,3275,6950,9445,6625,7905,3285,14265,4890,1790,1565,3685,9465,8350,14605,2975,159020,581865
1883,      Average government transfers in 2015 among recipients ($),6036,4613,5780,5310,5424,5990,5253,5423,5725,4821,4508,4309,5232,5146,5565,5742,4788,8333,5239,5833,4815,5951,5268,5955
1884,      Median government transfers in 2015 among recipients ($),710,513,769,577,966,1032,824,756,1198,531,579,528,663,709,667,831,532,9006,650,1196,529,805,664,1240
1885,    Number of employment income recipients aged 15 years and over in private households - 25% sample data,3615,22175,5830,11140,9890,10585,15370,3640,8370,14320,7430,12205,3225,16385,6910,2200,2265,2475,11115,9045,18920,3490,200155,752855
1886,      Average employment income in 2015 among recipients ($),77435,75188,92082,64908,48122,44358,45168,83645,45820,68708,44420,59830,52112,39360,60040,135141,70456,44645,39758,39154,52194,95791,57313,55081
1887,      Median employment income in 2015 among recipients ($),30075,54360,40023,51386,37309,33480,35173,34318,37606,47147,31623,47408,31824,31564,42411,42598,46005,26877,31086,29298,41305,38744,39110,40094
1888,  Total - Income statistics in 2015 for females aged 15 years and over in private households - 25% sample data,7265,26080,9270,16605,13375,15140,21535,6570,13175,20750,11135,15020,6265,23280,10040,3515,3530,4120,15840,13820,21235,5875,282735,1065780
1889,    Number of total income recipients aged 15 years and over in private households - 25% sample data,6810,25290,8770,16320,13145,14585,20855,6245,12660,20280,10670,14825,5975,22480,9730,3340,3420,4010,15005,13315,20760,5625,273435,1021440
1890,      Average total income in 2015 among recipients ($),46593,50377,60871,53909,39525,34268,34406,61157,34791,54972,35980,48732,40933,29567,46280,69569,55845,29641,30136,30866,40927,58134,42777,38360
1891,      Median total income in 2015 among recipients ($),27698,36194,34117,42707,31112,24521,25963,31895,25772,41193,24897,39721,23798,22757,34986,40753,37246,17800,22693,22859,33141,36661,29935,27773
1892,    Number of after-tax income recipients aged 15 years and over in private households - 25% sample data,6810,25285,8775,16325,13145,14580,20850,6245,12660,20290,10665,14825,5975,22480,9735,3340,3420,4015,15005,13320,20760,5625,273470,1021650
1893,      Average after-tax income in 2015 among recipients ($),38172,41169,48284,44708,34129,29855,30254,47261,30557,45003,30681,40919,33268,26419,38810,53116,45151,25883,26862,27176,34848,46627,35948,32798
1894,      Median after-tax income in 2015 among recipients ($),25425,32338,30594,38043,28200,23319,24677,28857,24359,36530,23576,35399,22335,21948,31879,36046,33469,17721,21885,21976,29898,31704,27521,25843
1895,    Number of market income recipients aged 15 years and over in private households - 25% sample data,6350,22710,8175,15580,11530,12485,18485,5750,10910,19335,9520,13805,5255,19150,8975,3190,3225,2760,12860,11525,19105,5240,245345,905525
1896,      Average market income in 2015 among recipients ($),44938,52939,61208,52319,39763,33714,33306,61874,34133,54128,35564,49074,41179,28894,45566,69359,54936,32740,29238,29534,40351,57854,42883,37762
1897,      Median market income in 2015 among recipients ($),25212,39529,33798,40535,32411,24389,25069,31262,25042,39825,24611,40255,23776,22707,33622,40476,35796,22855,21827,21447,31902,34820,30056,26860
1898,    Number of government transfers recipients aged 15 years and over in private households - 25% sample data,5340,16395,6500,10695,9990,11725,16745,4805,10005,13830,8395,9940,4845,18470,7370,2335,2520,3380,12555,10930,14795,4135,205175,788260
1899,      Average government transfers in 2015 among recipients ($),5984,4375,5125,6039,6122,6721,6077,5446,6795,4924,5395,4511,5798,6026,5610,4722,5457,8455,6078,6455,5311,5772,5730,6327
1900,      Median government transfers in 2015 among recipients ($),2644,571,2057,1926,2161,3745,2766,2175,3847,1272,1753,818,2336,2616,2174,1751,1783,7810,3186,3499,735,2147,2000,3354
1901,    Number of employment income recipients aged 15 years and over in private households - 25% sample data,4040,19125,5735,13125,10190,10160,15820,3680,8895,16415,7360,12765,3410,15865,7445,2130,2545,2320,10870,9140,16585,3745,200915,734200
1902,      Average employment income in 2015 among recipients ($),40126,50731,51073,46607,39914,36002,34346,50646,35225,48765,36356,47231,35980,30541,44154,55460,47920,35240,30547,30665,38934,44326,40762,36854
1903,      Median employment income in 2015 among recipients ($),23779,40019,26717,39162,32903,27922,27551,27757,27872,36778,27616,39452,21911,25811,33923,30078,35863,26089,24671,23994,32040,24160,30492,28244
2054,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 25% sample data,15070,58855,19635,32725,29000,34110,48870,13900,28935,42755,24135,32230,13025,51220,22365,7990,7570,9855,36080,30235,46720,12930,618210,2417230
2055,  0 to 17 years,2860,4450,4245,2965,3595,5745,8495,2415,5315,5105,3505,3315,2095,7765,4045,1600,1290,1255,6855,4850,2190,2375,86315,441695
2056,    0 to 5 years,525,2220,725,1485,1475,1880,3165,545,1710,2010,1160,1745,595,2475,1390,360,455,380,1985,1435,1100,565,29375,139295
2057,  18 to 64 years,9205,48205,12170,24575,21930,22680,33770,8665,18885,32095,17130,26340,8080,35645,15175,4910,5170,6460,24005,19860,37815,7990,440740,1612525
2058,  65 years and over,3015,6200,3220,5185,3480,5690,6605,2820,4735,5555,3500,2580,2855,7810,3145,1485,1105,2150,5210,5520,6720,2560,91150,363015
