ID,Variable,Arbutus-Ridge ,Downtown ,Dunbar-Southlands ,Fairview ,Grandview-Woodland ,Hastings-Sunrise ,Kensington-Cedar Cottage ,Kerrisdale ,Killarney ,Kitsilano ,Marpole ,Mount Pleasant ,Oakridge ,Renfrew-Collingwood ,Riley Park ,Shaughnessy ,South Cambie ,Strathcona ,Sunset ,Victoria-Fraserview,West End ,West Point Grey ,Vancouver CSD ,Vancouver CMA 
4056,  1 household maintainer,4020,24805,4085,13265,9425,6870,9230,3495,6000,14590,7415,11275,3190,10485,4530,1720,1870,4570,6000,5430,22040,3165,177130,555790
4057,  2 household maintainers,1915,9675,3205,6080,5000,4850,7220,1900,4075,7770,3175,6255,1605,6885,3835,1095,1155,1150,4395,3925,8355,2015,95330,364605
4058,  3 or more household maintainers,195,620,255,170,610,1010,1445,135,590,590,310,460,230,1500,470,60,130,130,1200,815,420,160,11455,40495
,,,,,,,,,,,,,,,,,,,,,,,,,
4059,Total - Private households by age of primary household maintainers - 25% sample data,6125,35100,7545,19515,15035,12725,17890,5525,10660,22955,10900,17985,5020,18865,8835,2875,3155,5850,11595,10170,30820,5340,283915,960895
4060,  15 to 24 years,205,2015,370,960,415,435,605,200,160,1455,600,740,160,785,240,75,105,155,445,210,1705,305,12335,30220
4061,  25 to 34 years,345,10965,435,5070,3630,1700,3125,440,1045,5675,1750,6130,515,3095,1660,265,630,825,1540,915,9155,565,59460,142600
4062,  35 to 44 years,810,7355,915,3560,3245,2050,3625,620,1895,4165,1685,4260,615,3150,1680,395,570,895,2080,1450,5620,700,51270,171450
4063,  45 to 54 years,1550,5635,2230,3110,2760,2840,3700,1415,2460,4145,2425,2795,1085,4010,1870,695,655,1050,2640,2340,4595,1095,54955,209670
4064,  55 to 64 years,1125,4825,1510,2930,2450,2520,3310,1080,2355,3435,2220,2170,870,3575,1485,575,485,1225,2290,2260,4195,1040,47830,188790
4065,  65 to 74 years,990,2755,1235,2405,1535,1470,1895,955,1615,2575,1395,1305,825,2260,960,500,380,855,1285,1605,3385,965,33030,126445
4066,  75 to 84 years,700,1175,600,1105,650,1230,1165,585,790,1040,575,430,590,1425,645,260,210,610,970,1030,1605,445,17770,66025
4067,  85 years and over,400,370,250,365,345,485,465,240,340,465,255,155,365,555,300,105,120,245,335,365,555,220,7270,25700
,,,,,,,,,,,,,,,,,,,,,,,,,
4068,Total - Income statistics in 2015 for economic families in private households - 25% sample data,4120,14990,5925,8630,7055,8795,12465,3845,7980,10845,6125,8210,3490,13070,5925,2210,2005,2030,8750,7825,10445,3480,157760,652790
4069,  Average total income of economic families in 2015 ($),153450,139659,199642,130998,99327,100241,100863,190837,98078,144265,97698,119964,120068,89077,133697,311454,160415,78952,97402,96782,100213,206461,123043,115694
4070,  Median total income of economic families in 2015 ($),88514,101109,128797,105198,81000,85949,86787,104278,84314,109579,76101,101800,85161,77148,108527,137701,112324,55444,80129,79179,80485,123169,90921,92447
4071,  Average after-tax income of economic families in 2015 ($),118446,108131,150007,105158,83005,84967,85775,140878,84051,112002,81420,97461,95091,77436,108162,221725,124783,67030,84184,83365,81802,158313,99168,95002
4072,  Median after-tax income of economic families in 2015 ($),77065,86045,105734,89239,71049,75670,76694,90597,74066,92897,67688,87358,73110,68452,93945,115730,94004,51159,71970,71591,69759,104003,79026,80360
4073,  Average family size of economic families,3,2.4,3.2,2.4,2.7,3.2,3.2,3.1,3.2,2.6,3,2.5,3.2,3.2,3,3.2,3,2.7,3.6,3.4,2.2,3,2.9,3.1
,,,,,,,,,,,,,,,,,,,,,,,,,
4074,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data,1150,9245,1700,5330,3295,2525,3445,1275,2140,5860,1895,4800,1025,3495,2070,765,735,905,1900,1885,7555,1290,64115,222050
4075,  Average total income of couple economic families without children or other relatives in 2015 ($),201033,153651,179488,137755,93296,87821,87910,195052,89266,133330,85454,119042,115351,72429,111119,374829,123504,83750,73585,73273,100962,243980,122724,109780
4076,  Median total income of couple economic families without children or other relatives in 2015 ($),96155,112140,116307,108179,80620,69573,74307,122263,76274,106299,70699,103257,79396,61803,90792,141555,95881,57422,60155,58636,82631,120395,89887,85410
4077,  Average after-tax income of couple economic families without children or other relatives in 2015 ($),150088,117540,138465,109698,77907,72270,74081,141606,75584,104475,71898,96848,88288,62112,89368,263047,98285,70028,63594,63018,82413,187624,97432,88896
4078,  Median after-tax income of couple economic families without children or other relatives in 2015 ($),85862,93421,99460,91137,69324,61409,65253,100342,66952,89161,62163,87747,69052,54207,77669,113410,82705,52814,53957,52459,71423,101457,77156,73910
4079,  Average family size of couple economic families without children or other relatives,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,
4080,Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data,1955,3500,3265,2115,2245,4370,6220,1750,4060,3410,2815,2275,1695,6515,2850,1105,905,575,5005,4305,1630,1580,63950,313600
4081,  Average total income of couple economic families with children in 2015 ($),170877,141100,241893,144160,131065,119362,121374,236974,114647,187381,120144,147571,146198,108891,169491,335953,222951,101249,115299,115546,124021,217666,146259,135322
4082,  Median total income of couple economic families with children in 2015 ($),115772,108381,166391,123637,112033,108950,106661,135195,101079,146934,99854,125265,105080,97913,143774,185542,162561,78790,99422,100886,95981,157128,111905,112278
4083,  Average after-tax income of couple economic families with children in 2015 ($),132458,111547,178325,115992,108159,101841,102547,174117,98261,142522,99655,117847,116142,94427,136043,239174,169819,85655,99200,99446,99428,165206,117820,111039
4084,  Median after-tax income of couple economic families with children in 2015 ($),97790,92000,136793,104805,96661,95098,93038,110559,89005,121282,86281,104660,90499,87033,121864,149599,135057,71930,88173,89607,82147,133203,96943,96966
4085,  Average family size of couple economic families with children,3.9,3.5,4,3.5,3.8,4.1,4.1,4,4,3.6,3.9,3.6,4.1,4.2,3.9,4.1,4,3.9,4.4,4.3,3.4,3.9,4,4.1
,,,,,,,,,,,,,,,,,,,,,,,,,
4086,Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data,870,1615,765,915,1235,1485,2145,655,1525,1260,1105,850,600,2325,790,245,300,460,1385,1300,865,510,23125,93545
4087,  Average total income of lone-parent economic families in 2015 ($),63359,77420,82370,67954,56293,64781,64207,80709,65831,94025,64309,65369,64724,60692,77237,77810,78941,45039,65473,66702,58729,86361,68258,67562
4088,  Median total income of lone-parent economic families in 2015 ($),36951,50404,51186,63897,47681,54377,53950,46921,56074,66676,45379,47246,44925,51168,68418,57997,68980,28271,54376,54513,45348,64022,52869,54189
4089,  Average after-tax income of lone-parent economic families in 2015 ($),52593,61452,66920,58376,49641,55946,57159,64096,57616,74603,52949,55984,55539,54325,66143,64669,65921,40093,58046,57503,50695,68468,58017,57922
4090,  Median after-tax income of lone-parent economic families in 2015 ($),34236,45461,47879,54533,43779,49515,50029,40667,50123,58181,42658,43613,39897,47676,59770,52877,62178,28007,49438,50635,42172,55531,48116,49220
4091,  Average family size of lone-parent economic families,2.5,2.3,2.6,2.2,2.5,2.7,2.7,2.6,2.6,2.3,2.4,2.4,2.6,2.6,2.6,2.7,2.6,2.7,2.7,2.7,2.2,2.5,2.5,2.6
,,,,,,,,,,,,,,,,,,,,,,,,,
4092,"Total -  Owner and tenant households with household total income greater than zero, in non-farm, non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data",6080,34985,6930,19460,15035,12715,17855,5475,10650,22870,10865,17935,5000,18835,8825,2865,3155,5835,11570,10165,30755,5320,283180,953375
4093,  Spending less than 30% of income on shelter costs,3370,19470,4675,12960,9755,8915,12325,3320,7775,14895,6540,11725,2805,12580,6285,1925,2115,3050,7740,7250,16920,3265,179675,648425
4094,  Spending 30% or more of income on shelter costs,2710,15515,2255,6495,5275,3800,5530,2155,2875,7980,4325,6205,2195,6255,2535,945,1040,2780,3840,2915,13835,2055,103505,304950
4095,    30% to less than 100%,1760,11080,1365,5080,4425,3250,4615,1455,2425,6015,3195,5180,1495,5135,2115,630,835,2430,3200,2385,10570,1410,80055,240995
,,,,,,,,,,,,,,,,,,,,,,,,,
4096,"Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data",3870,15030,5470,8175,5455,7515,9960,3665,6375,9925,4490,7030,3085,11015,5135,2145,1860,1125,6185,6195,6130,3325,133160,608080
4097,  % of owner households with a mortgage,44,66.5,42.2,54.2,63.2,49,55.8,37.8,53.7,53,47.6,73.2,37.2,52.5,51.2,36.8,50.5,66.7,51.1,43.7,50.3,38.6,53.1,60.3
4098,  % of owner households spending 30% or more of its income on shelter costs,39,36.6,28.7,23.5,22.3,22.6,25.8,34,23.4,23.7,30.9,25.4,37.9,28,21.6,30.4,26.8,26.8,29.2,23.6,27.3,30.9,27.8,25.4
4099,  Median monthly shelter costs for owned dwellings ($),1316,1675,1255,1238,1323,896,1292,1418,1092,1224,1042,1596,1207,1002,1227,1734,1237,1686,1121,833,1119,1319,1306,1376
4100,  Average monthly shelter costs for owned dwellings ($),2241,1880,2324,1497,1555,1477,1596,2276,1424,1734,1624,1734,2026,1391,1831,2536,1835,1677,1669,1456,1369,2220,1714,1622
4101,  Median value of dwellings ($),2505285,697128,3004627,648593,880109,1249900,1202530,2914946,947355,948172,1505217,600575,2490494,1196033,1599859,3494588,2000913,799509,1500134,1499725,501546,2906094,1102843,800220
4102,  Average value of dwellings ($),2500033,941493,3026785,761230,899002,1266054,1214877,2879632,1097209,1327707,1695892,803459,2414767,1099509,1695195,3247312,1907007,845567,1456880,1441615,670773,2830724,1414191,1005920
,,,,,,,,,,,,,,,,,,,,,,,,,
4103,"Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data",2250,20070,1495,11340,9580,5210,7930,1855,4285,13025,6410,10955,1945,7855,3700,730,1300,4730,5410,3975,24690,2015,150745,347220
4104,  % of tenant households in subsidized housing,9.3,19,3.7,9.6,22.3,17.4,9.3,2.4,29.3,6.3,11.1,9,15.7,13.9,6.8,0,3.5,61.3,8.4,16.4,8,13.6,13.7,13.1
4105,  % of tenant households spending 30% or more of its income on shelter costs,54.2,50.1,46.8,40.5,42.4,40.4,37.6,50,32.3,43.4,46,40.5,53.5,40.5,38.8,40.7,41.9,52.6,37.7,36.6,49.4,51.2,44.3,43.5
4106,  Median monthly shelter costs for rented dwellings ($),1503,1630,1604,1261,989,1002,1070,1286,1078,1348,964,1164,1426,1096,1254,1419,1381,481,1000,950,1254,1347,1206,1136
4107,  Average monthly shelter costs for rented dwellings ($),1688,1589,1824,1341,1041,1103,1163,1504,1094,1472,1113,1291,1494,1107,1361,1786,1500,699,1112,1064,1308,1524,1296,1242
