Year,Date,Civil Twilight Start,Sunrise,Local Noon,Sunset,Civil Twilight End,Day,Sky,Total
2019,2-Mar,6:21,6:53,12:25,17:57,18:29,11.07,1.06,12.13
2019,3-Mar,6:19,6:51,12:24,17:59,18:31,11.13,1.06,12.19
2019,4-Mar,6:17,6:49,12:24,18:00,18:32,11.19,1.06,12.25
2019,5-Mar,6:15,6:47,12:24,18:02,18:34,11.25,1.06,12.31
2019,6-Mar,6:13,6:45,12:24,18:04,18:35,11.31,1.06,12.37
2019,7-Mar,6:11,6:43,12:23,18:05,18:37,11.37,1.06,12.43
2019,8-Mar,6:09,6:41,12:23,18:07,18:38,11.43,1.06,12.49
2019,9-Mar,6:07,6:39,12:23,18:08,18:40,11.5,1.06,12.55
2019,10-Mar,6:05,6:36,12:23,18:10,18:42,11.56,1.06,12.61
2019,11-Mar,6:03,6:34,12:22,18:11,18:43,11.62,1.06,12.67
2019,12-Mar,6:01,6:32,12:22,18:13,18:45,11.68,1.05,12.73
2019,13-Mar,5:59,6:30,12:22,18:15,18:46,11.74,1.05,12.79
2019,14-Mar,5:56,6:28,12:22,18:16,18:48,11.8,1.05,12.86
2019,15-Mar,5:54,6:26,12:21,18:18,18:49,11.86,1.05,12.92
2019,16-Mar,5:52,6:24,12:21,18:19,18:51,11.92,1.06,12.98
2019,17-Mar,5:50,6:22,12:21,18:21,18:52,11.98,1.06,13.04
2019,18-Mar,5:48,6:20,12:21,18:22,18:54,12.05,1.06,13.1
2019,19-Mar,5:46,6:17,12:20,18:24,18:56,12.11,1.06,13.16
2019,20-Mar,5:44,6:15,12:20,18:25,18:57,12.17,1.06,13.22
2019,21-Mar,5:42,6:13,12:20,18:27,18:59,12.23,1.06,13.29
2019,22-Mar,5:39,6:11,12:19,18:29,19:00,12.29,1.06,13.35
2019,23-Mar,5:37,6:09,12:19,18:30,19:02,12.35,1.06,13.41
2019,24-Mar,5:35,6:07,12:19,18:32,19:03,12.41,1.06,13.47
2019,25-Mar,5:33,6:05,12:18,18:33,19:05,12.47,1.06,13.54
2019,26-Mar,5:31,6:03,12:18,18:35,19:07,12.53,1.06,13.6
2019,27-Mar,5:29,6:00,12:18,18:36,19:08,12.6,1.07,13.66
2019,28-Mar,5:26,5:58,12:18,18:38,19:10,12.66,1.07,13.72
2019,29-Mar,5:24,5:56,12:17,18:39,19:11,12.72,1.07,13.79
2019,30-Mar,5:22,5:54,12:17,18:41,19:13,12.78,1.07,13.85
2019,31-Mar,5:20,5:52,12:17,18:42,19:15,12.84,1.07,13.91
2019,1-Apr,5:18,5:50,12:16,18:44,19:16,12.9,1.08,13.97
2019,2-Apr,5:15,5:48,12:16,18:45,19:18,12.96,1.08,14.04
2019,3-Apr,5:13,5:46,12:16,18:47,19:19,13.02,1.08,14.1
2019,4-Apr,5:11,5:44,12:15,18:48,19:21,13.08,1.08,14.16
2019,5-Apr,5:09,5:41,12:15,18:50,19:22,13.14,1.09,14.23
2019,6-Apr,5:07,5:39,12:15,18:51,19:24,13.2,1.09,14.29
2019,7-Apr,5:05,5:37,12:15,18:53,19:26,13.26,1.09,14.35
2019,8-Apr,5:02,5:35,12:14,18:54,19:27,13.32,1.09,14.41
2019,9-Apr,5:00,5:33,12:14,18:56,19:29,13.38,1.1,14.48
2019,10-Apr,4:58,5:31,12:14,18:57,19:31,13.44,1.1,14.54
2019,11-Apr,4:56,5:29,12:14,18:59,19:32,13.5,1.1,14.6
2019,12-Apr,4:54,5:27,12:13,19:00,19:34,13.56,1.11,14.67
2019,13-Apr,4:52,5:25,12:13,19:02,19:35,13.62,1.11,14.73
2019,14-Apr,4:50,5:23,12:13,19:04,19:37,13.68,1.11,14.79
2019,15-Apr,4:48,5:21,12:13,19:05,19:39,13.73,1.12,14.85
2019,16-Apr,4:45,5:19,12:12,19:07,19:40,13.79,1.12,14.92
2019,17-Apr,4:43,5:17,12:12,19:08,19:42,13.85,1.13,14.98
2019,18-Apr,4:41,5:15,12:12,19:10,19:44,13.91,1.13,15.04
2019,19-Apr,4:39,5:13,12:12,19:11,19:45,13.97,1.14,15.1
2019,20-Apr,4:37,5:11,12:11,19:13,19:47,14.02,1.14,15.16
2019,21-Apr,4:35,5:09,12:11,19:14,19:49,14.08,1.14,15.23
2019,22-Apr,4:33,5:07,12:11,19:16,19:50,14.14,1.15,15.29
2019,23-Apr,4:31,5:05,12:11,19:17,19:52,14.19,1.15,15.35
2019,24-Apr,4:29,5:04,12:11,19:19,19:54,14.25,1.16,15.41
2019,25-Apr,4:27,5:02,12:10,19:20,19:55,14.31,1.16,15.47
2019,26-Apr,4:25,5:00,12:10,19:22,19:57,14.36,1.17,15.53
2019,27-Apr,4:23,4:58,12:10,19:23,19:59,14.42,1.17,15.59
2019,28-Apr,4:21,4:56,12:10,19:25,20:00,14.47,1.18,15.65
2019,29-Apr,4:19,4:55,12:10,19:26,20:02,14.53,1.19,15.71
2019,30-Apr,4:17,4:53,12:10,19:28,20:03,14.58,1.19,15.77
2019,1-May,4:15,4:51,12:10,19:29,20:05,14.63,1.2,15.83
2019,2-May,4:13,4:49,12:09,19:31,20:07,14.69,1.2,15.89
2019,3-May,4:12,4:48,12:09,19:32,20:08,14.74,1.21,15.95
2019,4-May,4:10,4:46,12:09,19:34,20:10,14.79,1.21,16.01
2019,5-May,4:08,4:44,12:09,19:35,20:12,14.84,1.22,16.06
2019,6-May,4:06,4:43,12:09,19:36,20:13,14.9,1.23,16.12
2019,7-May,4:04,4:41,12:09,19:38,20:15,14.95,1.23,16.18
2019,8-May,4:03,4:40,12:09,19:39,20:17,15,1.24,16.24
2019,9-May,4:01,4:38,12:09,19:41,20:18,15.05,1.24,16.29
2019,10-May,3:59,4:37,12:09,19:42,20:20,15.1,1.25,16.35
2019,11-May,3:57,4:35,12:09,19:44,20:21,15.14,1.26,16.4
2019,12-May,3:56,4:34,12:09,19:45,20:23,15.19,1.26,16.45
2019,13-May,3:54,4:32,12:09,19:46,20:25,15.24,1.27,16.51
2019,14-May,3:53,4:31,12:09,19:48,20:26,15.28,1.28,16.56
2019,15-May,3:51,4:29,12:09,19:49,20:28,15.33,1.28,16.61
2019,16-May,3:50,4:28,12:09,19:51,20:29,15.37,1.29,16.66
2019,17-May,3:48,4:27,12:09,19:52,20:31,15.42,1.3,16.71
2019,18-May,3:47,4:26,12:09,19:53,20:32,15.46,1.3,16.76
2019,19-May,3:45,4:24,12:09,19:54,20:34,15.5,1.31,16.81
2019,20-May,3:44,4:23,12:09,19:56,20:35,15.54,1.32,16.86
2019,21-May,3:42,4:22,12:09,19:57,20:37,15.58,1.32,16.91
2019,22-May,3:41,4:21,12:09,19:58,20:38,15.62,1.33,16.95
2019,23-May,3:40,4:20,12:09,20:00,20:40,15.66,1.33,17
2019,24-May,3:39,4:19,12:09,20:01,20:41,15.7,1.34,17.04
2019,25-May,3:37,4:18,12:09,20:02,20:42,15.74,1.35,17.08
2019,26-May,3:36,4:17,12:10,20:03,20:44,15.77,1.35,17.12
2019,27-May,3:35,4:16,12:10,20:04,20:45,15.81,1.36,17.16
2019,28-May,3:34,4:15,12:10,20:05,20:46,15.84,1.36,17.2
2019,29-May,3:33,4:14,12:10,20:06,20:48,15.87,1.37,17.24
2019,30-May,3:32,4:13,12:10,20:07,20:49,15.9,1.38,17.28
2019,31-May,3:31,4:13,12:10,20:08,20:50,15.93,1.38,17.31
2019,1-Jun,3:30,4:12,12:10,20:09,20:51,15.96,1.39,17.35
2019,2-Jun,3:30,4:11,12:11,20:10,20:52,15.99,1.39,17.38
2019,3-Jun,3:29,4:11,12:11,20:11,20:53,16.01,1.4,17.41
2019,4-Jun,3:28,4:10,12:11,20:12,20:54,16.04,1.4,17.44
2019,5-Jun,3:27,4:09,12:11,20:13,20:55,16.06,1.41,17.47
2019,6-Jun,3:27,4:09,12:11,20:14,20:56,16.08,1.41,17.49
2019,7-Jun,3:26,4:08,12:11,20:15,20:57,16.1,1.41,17.52
2019,8-Jun,3:26,4:08,12:12,20:15,20:58,16.12,1.42,17.54
2019,9-Jun,3:25,4:08,12:12,20:16,20:59,16.14,1.42,17.56
2019,10-Jun,3:25,4:07,12:12,20:17,21:00,16.16,1.42,17.58
2019,11-Jun,3:24,4:07,12:12,20:18,21:00,16.17,1.43,17.6
2019,12-Jun,3:24,4:07,12:12,20:18,21:01,16.19,1.43,17.62
2019,13-Jun,3:24,4:07,12:13,20:19,21:02,16.2,1.43,17.63
2019,14-Jun,3:24,4:07,12:13,20:19,21:02,16.21,1.44,17.65
2019,15-Jun,3:23,4:07,12:13,20:20,21:03,16.22,1.44,17.66
2019,16-Jun,3:23,4:06,12:13,20:20,21:03,16.23,1.44,17.67
2019,17-Jun,3:23,4:06,12:13,20:21,21:04,16.23,1.44,17.67
2019,18-Jun,3:23,4:07,12:14,20:21,21:04,16.24,1.44,17.68
2019,19-Jun,3:23,4:07,12:14,20:21,21:04,16.24,1.44,17.68
2019,20-Jun,3:24,4:07,12:14,20:21,21:05,16.24,1.44,17.69
2019,21-Jun,3:24,4:07,12:14,20:22,21:05,16.25,1.44,17.69
2019,22-Jun,3:24,4:07,12:15,20:22,21:05,16.24,1.44,17.69
2019,23-Jun,3:24,4:07,12:15,20:22,21:05,16.24,1.44,17.68
2019,24-Jun,3:25,4:08,12:15,20:22,21:05,16.24,1.44,17.68
2019,25-Jun,3:25,4:08,12:15,20:22,21:05,16.23,1.44,17.67
2019,26-Jun,3:25,4:09,12:15,20:22,21:05,16.23,1.44,17.66
2019,27-Jun,3:26,4:09,12:16,20:22,21:05,16.22,1.44,17.65
2019,28-Jun,3:26,4:10,12:16,20:22,21:05,16.21,1.43,17.64
2019,29-Jun,3:27,4:10,12:16,20:22,21:05,16.2,1.43,17.63
2019,30-Jun,3:28,4:11,12:16,20:22,21:04,16.18,1.43,17.61
2019,1-Jul,3:28,4:11,12:16,20:21,21:04,16.17,1.43,17.59
2019,2-Jul,3:29,4:12,12:17,20:21,21:04,16.15,1.42,17.58
2019,3-Jul,3:30,4:13,12:17,20:21,21:03,16.14,1.42,17.56
2019,4-Jul,3:31,4:13,12:17,20:20,21:03,16.12,1.42,17.53
2019,5-Jul,3:32,4:14,12:17,20:20,21:02,16.1,1.41,17.51
2019,6-Jul,3:32,4:15,12:17,20:19,21:02,16.08,1.41,17.48
2019,7-Jul,3:33,4:16,12:17,20:19,21:01,16.05,1.4,17.46
2019,8-Jul,3:34,4:16,12:18,20:18,21:00,16.03,1.4,17.43
2019,9-Jul,3:35,4:17,12:18,20:18,20:59,16,1.39,17.4
2019,10-Jul,3:37,4:18,12:18,20:17,20:59,15.98,1.39,17.37
2019,11-Jul,3:38,4:19,12:18,20:16,20:58,15.95,1.38,17.34
2019,12-Jul,3:39,4:20,12:18,20:16,20:57,15.92,1.38,17.3
2019,13-Jul,3:40,4:21,12:18,20:15,20:56,15.89,1.37,17.27
2019,14-Jul,3:41,4:22,12:18,20:14,20:55,15.86,1.37,17.23
2019,15-Jul,3:42,4:23,12:18,20:13,20:54,15.83,1.36,17.19
2019,16-Jul,3:44,4:24,12:19,20:12,20:53,15.8,1.36,17.15
2019,17-Jul,3:45,4:26,12:19,20:11,20:52,15.76,1.35,17.11
2019,18-Jul,3:46,4:27,12:19,20:10,20:50,15.73,1.34,17.07
2019,19-Jul,3:48,4:28,12:19,20:09,20:49,15.69,1.34,17.03
2019,20-Jul,3:49,4:29,12:19,20:08,20:48,15.65,1.33,16.98
2019,21-Jul,3:50,4:30,12:19,20:07,20:47,15.61,1.33,16.94
2019,22-Jul,3:52,4:31,12:19,20:06,20:45,15.57,1.32,16.89
2019,23-Jul,3:53,4:33,12:19,20:05,20:44,15.53,1.31,16.85
2019,24-Jul,3:55,4:34,12:19,20:03,20:43,15.49,1.31,16.8
2019,25-Jul,3:56,4:35,12:19,20:02,20:41,15.45,1.3,16.75
2019,26-Jul,3:57,4:36,12:19,20:01,20:40,15.41,1.29,16.7
2019,27-Jul,3:59,4:38,12:19,20:00,20:38,15.36,1.29,16.65
2019,28-Jul,4:00,4:39,12:19,19:58,20:37,15.32,1.28,16.6
2019,29-Jul,4:02,4:40,12:19,19:57,20:35,15.27,1.28,16.55
2019,30-Jul,4:03,4:42,12:19,19:55,20:33,15.23,1.27,16.5
2019,31-Jul,4:05,4:43,12:19,19:54,20:32,15.18,1.26,16.44
2019,1-Aug,4:07,4:44,12:19,19:52,20:30,15.14,1.26,16.39
2019,2-Aug,4:08,4:46,12:19,19:51,20:28,15.09,1.25,16.34
2019,3-Aug,4:10,4:47,12:19,19:49,20:27,15.04,1.24,16.28
2019,4-Aug,4:11,4:48,12:19,19:48,20:25,14.99,1.24,16.23
2019,5-Aug,4:13,4:50,12:19,19:46,20:23,14.94,1.23,16.17
2019,6-Aug,4:14,4:51,12:18,19:45,20:21,14.89,1.23,16.12
2019,7-Aug,4:16,4:53,12:18,19:43,20:19,14.84,1.22,16.06
2019,8-Aug,4:18,4:54,12:18,19:41,20:18,14.79,1.21,16
2019,9-Aug,4:19,4:55,12:18,19:40,20:16,14.74,1.21,15.94
2019,10-Aug,4:21,4:57,12:18,19:38,20:14,14.68,1.2,15.89
2019,11-Aug,4:22,4:58,12:18,19:36,20:12,14.63,1.2,15.83
2019,12-Aug,4:24,5:00,12:18,19:34,20:10,14.58,1.19,15.77
2019,13-Aug,4:25,5:01,12:17,19:33,20:08,14.53,1.19,15.71
2019,14-Aug,4:27,5:03,12:17,19:31,20:06,14.47,1.18,15.65
2019,15-Aug,4:29,5:04,12:17,19:29,20:04,14.42,1.17,15.59
2019,16-Aug,4:30,5:05,12:17,19:27,20:02,14.36,1.17,15.53
2019,17-Aug,4:32,5:07,12:17,19:25,20:00,14.31,1.16,15.47
2019,18-Aug,4:33,5:08,12:16,19:23,19:58,14.25,1.16,15.41
2019,19-Aug,4:35,5:10,12:16,19:22,19:56,14.2,1.15,15.35
2019,20-Aug,4:37,5:11,12:16,19:20,19:54,14.14,1.15,15.29
2019,21-Aug,4:38,5:13,12:16,19:18,19:52,14.08,1.15,15.23
2019,22-Aug,4:40,5:14,12:15,19:16,19:50,14.03,1.14,15.17
2019,23-Aug,4:41,5:15,12:15,19:14,19:48,13.97,1.14,15.11
2019,24-Aug,4:43,5:17,12:15,19:12,19:46,13.91,1.13,15.05
2019,25-Aug,4:44,5:18,12:15,19:10,19:44,13.86,1.13,14.99
2019,26-Aug,4:46,5:20,12:14,19:08,19:41,13.8,1.12,14.92
2019,27-Aug,4:48,5:21,12:14,19:06,19:39,13.74,1.12,14.86
2019,28-Aug,4:49,5:23,12:14,19:04,19:37,13.68,1.12,14.8
2019,29-Aug,4:51,5:24,12:13,19:02,19:35,13.63,1.11,14.74
2019,30-Aug,4:52,5:26,12:13,19:00,19:33,13.57,1.11,14.68
2019,31-Aug,4:54,5:27,12:13,18:58,19:31,13.51,1.1,14.62
2019,1-Sep,4:55,5:28,12:12,18:56,19:29,13.45,1.1,14.55
2019,2-Sep,4:57,5:30,12:12,18:53,19:26,13.39,1.1,14.49
2019,3-Sep,4:58,5:31,12:12,18:51,19:24,13.33,1.09,14.43
2019,4-Sep,5:00,5:33,12:12,18:49,19:22,13.28,1.09,14.37
2019,5-Sep,5:01,5:34,12:11,18:47,19:20,13.22,1.09,14.31
2019,6-Sep,5:03,5:36,12:11,18:45,19:18,13.16,1.09,14.24
2019,7-Sep,5:05,5:37,12:11,18:43,19:15,13.1,1.08,14.18
2019,8-Sep,5:06,5:39,12:10,18:41,19:13,13.04,1.08,14.12
2019,9-Sep,5:08,5:40,12:10,18:39,19:11,12.98,1.08,14.06
2019,10-Sep,5:09,5:41,12:09,18:37,19:09,12.92,1.08,14
2019,11-Sep,5:11,5:43,12:09,18:34,19:07,12.86,1.07,13.93
2019,12-Sep,5:12,5:44,12:09,18:32,19:04,12.8,1.07,13.87
2019,13-Sep,5:14,5:46,12:08,18:30,19:02,12.74,1.07,13.81
2019,14-Sep,5:15,5:47,12:08,18:28,19:00,12.68,1.07,13.75
2019,15-Sep,5:17,5:49,12:08,18:26,18:58,12.62,1.07,13.69
2019,16-Sep,5:18,5:50,12:07,18:24,18:56,12.56,1.06,13.63
2019,17-Sep,5:20,5:52,12:07,18:22,18:53,12.5,1.06,13.56
2019,18-Sep,5:21,5:53,12:07,18:19,18:51,12.44,1.06,13.5
2019,19-Sep,5:23,5:54,12:06,18:17,18:49,12.38,1.06,13.44
2019,20-Sep,5:24,5:56,12:06,18:15,18:47,12.32,1.06,13.38
2019,21-Sep,5:26,5:57,12:06,18:13,18:45,12.26,1.06,13.32
2019,22-Sep,5:27,5:59,12:05,18:11,18:42,12.2,1.06,13.26
2019,23-Sep,5:28,6:00,12:05,18:09,18:40,12.14,1.06,13.2
2019,24-Sep,5:30,6:02,12:05,18:06,18:38,12.08,1.06,13.14
2019,25-Sep,5:31,6:03,12:04,18:04,18:36,12.02,1.06,13.07
2019,26-Sep,5:33,6:05,12:04,18:02,18:34,11.96,1.06,13.01
2019,27-Sep,5:34,6:06,12:03,18:00,18:32,11.9,1.05,12.95
2019,28-Sep,5:36,6:08,12:03,17:58,18:29,11.84,1.05,12.89
2019,29-Sep,5:37,6:09,12:03,17:56,18:27,11.78,1.05,12.83
2019,30-Sep,5:39,6:11,12:02,17:54,18:25,11.72,1.05,12.77
2019,1-Oct,5:40,6:12,12:02,17:51,18:23,11.66,1.05,12.71
2019,2-Oct,5:42,6:13,12:02,17:49,18:21,11.6,1.06,12.65
2019,3-Oct,5:43,6:15,12:02,17:47,18:19,11.54,1.06,12.59
2019,4-Oct,5:45,6:16,12:01,17:45,18:17,11.48,1.06,12.53
2019,5-Oct,5:46,6:18,12:01,17:43,18:15,11.42,1.06,12.47
2019,6-Oct,5:48,6:19,12:01,17:41,18:13,11.36,1.06,12.41
2019,7-Oct,5:49,6:21,12:00,17:39,18:11,11.3,1.06,12.36
2019,8-Oct,5:51,6:23,12:00,17:37,18:09,11.24,1.06,12.3
2019,9-Oct,5:52,6:24,12:00,17:35,18:06,11.18,1.06,12.24
2019,10-Oct,5:54,6:26,12:00,17:33,18:04,11.12,1.06,12.18
2019,11-Oct,5:55,6:27,11:59,17:31,18:02,11.06,1.06,12.12
2019,12-Oct,5:57,6:29,11:59,17:29,18:00,11,1.06,12.06
2019,13-Oct,5:58,6:30,11:59,17:27,17:59,10.94,1.07,12.01
2019,14-Oct,6:00,6:32,11:59,17:25,17:57,10.88,1.07,11.95
2019,15-Oct,6:01,6:33,11:58,17:23,17:55,10.82,1.07,11.89
2019,16-Oct,6:03,6:35,11:58,17:21,17:53,10.76,1.07,11.83
2019,17-Oct,6:04,6:36,11:58,17:19,17:51,10.7,1.07,11.78
2019,18-Oct,6:06,6:38,11:58,17:17,17:49,10.65,1.07,11.72
2019,19-Oct,6:07,6:39,11:58,17:15,17:47,10.59,1.08,11.66
2019,20-Oct,6:09,6:41,11:57,17:13,17:45,10.53,1.08,11.61
2019,21-Oct,6:10,6:43,11:57,17:11,17:43,10.47,1.08,11.55
2019,22-Oct,6:12,6:44,11:57,17:09,17:42,10.41,1.08,11.5
2019,23-Oct,6:13,6:46,11:57,17:07,17:40,10.36,1.09,11.44
2019,24-Oct,6:15,6:47,11:57,17:05,17:38,10.3,1.09,11.39
2019,25-Oct,6:16,6:49,11:57,17:04,17:36,10.24,1.09,11.33
2019,26-Oct,6:18,6:51,11:57,17:02,17:34,10.18,1.09,11.28
2019,27-Oct,6:19,6:52,11:56,17:00,17:33,10.13,1.1,11.23
2019,28-Oct,6:21,6:54,11:56,16:58,17:31,10.07,1.1,11.17
2019,29-Oct,6:22,6:55,11:56,16:56,17:29,10.02,1.1,11.12
2019,30-Oct,6:24,6:57,11:56,16:55,17:28,9.96,1.11,11.07
2019,31-Oct,6:25,6:59,11:56,16:53,17:26,9.91,1.11,11.01
2019,1-Nov,6:27,7:00,11:56,16:51,17:25,9.85,1.11,10.96
2019,2-Nov,6:28,7:02,11:56,16:50,17:23,9.8,1.12,10.91
2019,3-Nov,6:30,7:04,11:56,16:48,17:22,9.74,1.12,10.86
2019,4-Nov,6:31,7:05,11:56,16:46,17:20,9.69,1.12,10.81
2019,5-Nov,6:33,7:07,11:56,16:45,17:19,9.64,1.13,10.76
2019,6-Nov,6:34,7:08,11:56,16:43,17:17,9.58,1.13,10.71
2019,7-Nov,6:36,7:10,11:56,16:42,17:16,9.53,1.13,10.66
2019,8-Nov,6:37,7:12,11:56,16:40,17:14,9.48,1.14,10.62
2019,9-Nov,6:39,7:13,11:56,16:39,17:13,9.43,1.14,10.57
2019,10-Nov,6:41,7:15,11:56,16:38,17:12,9.38,1.14,10.52
2019,11-Nov,6:42,7:16,11:57,16:36,17:11,9.33,1.15,10.48
2019,12-Nov,6:43,7:18,11:57,16:35,17:09,9.28,1.15,10.43
2019,13-Nov,6:45,7:20,11:57,16:34,17:08,9.23,1.15,10.39
2019,14-Nov,6:46,7:21,11:57,16:32,17:07,9.18,1.16,10.34
2019,15-Nov,6:48,7:23,11:57,16:31,17:06,9.14,1.16,10.3
2019,16-Nov,6:49,7:24,11:57,16:30,17:05,9.09,1.17,10.26
2019,17-Nov,6:51,7:26,11:58,16:29,17:04,9.05,1.17,10.22
2019,18-Nov,6:52,7:27,11:58,16:27,17:03,9,1.17,10.17
2019,19-Nov,6:54,7:29,11:58,16:26,17:02,8.96,1.18,10.13
2019,20-Nov,6:55,7:31,11:58,16:25,17:01,8.91,1.18,10.1
2019,21-Nov,6:56,7:32,11:58,16:24,17:00,8.87,1.19,10.06
2019,22-Nov,6:58,7:34,11:59,16:23,16:59,8.83,1.19,10.02
2019,23-Nov,6:59,7:35,11:59,16:22,16:58,8.79,1.19,9.98
2019,24-Nov,7:01,7:36,11:59,16:22,16:57,8.75,1.2,9.95
2019,25-Nov,7:02,7:38,12:00,16:21,16:57,8.71,1.2,9.91
2019,26-Nov,7:03,7:39,12:00,16:20,16:56,8.68,1.2,9.88
2019,27-Nov,7:05,7:41,12:00,16:19,16:55,8.64,1.21,9.85
2019,28-Nov,7:06,7:42,12:01,16:19,16:55,8.61,1.21,9.82
2019,29-Nov,7:07,7:43,12:01,16:18,16:54,8.57,1.21,9.79
2019,30-Nov,7:08,7:45,12:01,16:17,16:54,8.54,1.22,9.76
2019,1-Dec,7:10,7:46,12:02,16:17,16:53,8.51,1.22,9.73
2019,2-Dec,7:11,7:47,12:02,16:16,16:53,8.48,1.22,9.7
2019,3-Dec,7:12,7:49,12:02,16:16,16:53,8.45,1.23,9.68
2019,4-Dec,7:13,7:50,12:03,16:15,16:52,8.42,1.23,9.65
2019,5-Dec,7:14,7:51,12:03,16:15,16:52,8.4,1.23,9.63
2019,6-Dec,7:15,7:52,12:04,16:15,16:52,8.37,1.23,9.61
