USE;HBLOCK;X_Midpoint;Y_Midpoint;Lat;Long;geopoint
Residential;4100-4300 CROWN ST;485909.21875;5455192.0;49.2493367519;-123.193616639;49.2493367519,-123.193616639
Residential;5200 DUMFRIES ST;494604.46875;5453832.0;49.2372416938;-123.07412004;49.2372416938,-123.07412004
Residential;5900 KILLARNEY ST;496655.5625;5453024.0;49.2299881754;-123.045936819;49.2299881754,-123.045936819
Residential;4200 WILLOW ST;491093.84375;5455014.0;49.247833031;-123.122372731;49.247833031,-123.122372731
Residential;4600-4800 VALLEY DRIVE;489035.625;5454537.5;49.2435134012;-123.150640019;49.2435134012,-123.150640019
Residential;2700 E 45TH AV;496399.8125;5452953.0;49.2293480621;-123.04944898;49.2293480621,-123.04944898
Residential;4700-4800 WINDSOR ST;493883.21875;5454397.0;49.2423172176;-123.084036681;49.2423172176,-123.084036681
Residential;1300 E 31ST AV;494326.3125;5454419.0;49.2425193804;-123.077949462;49.2425193804,-123.077949462
Residential;5800 ONTARIO ST;492307.0625;5453299.5;49.2324271721;-123.105669936;49.2324271721,-123.105669936
Residential;2300 EDDINGTON DRIVE;488364.71875;5454743.0;49.2453495277;-123.15986356;49.2453495277,-123.15986356
Residential;5000 DUMFRIES ST;494607.875;5453995.5;49.2387124449;-123.074075446;49.2387124449,-123.074075446
Residential;4500-4600 CULLODEN ST;494258.21875;5454534.5;49.2435576942;-123.07888664;49.2435576942,-123.07888664
Residential;700 E 39TH AV;493566.5625;5453557.5;49.2347624737;-123.088373649;49.2347624737,-123.088373649
Residential;800-900 E 39TH AV;493706.5;5453554.5;49.2347369425;-123.086451337;49.2347369425,-123.086451337
Residential;4100 SALISH DRIVE;485519.6875;5453613.0;49.2351242641;-123.198911966;49.2351242641,-123.198911966
Residential;4200-4500 FLEMING ST;494752.65625;5454780.0;49.2457704611;-123.072096758;49.2457704611,-123.072096758
Residential;200 SKEENA ST;497940.40625;5458887.0;49.2827327844;-123.028319277;49.2827327844,-123.028319277
Residential;3500 MATHESON CRESCENT;498161.3125;5451702.5;49.2181073059;-123.025248852;49.2181073059,-123.025248852
Residential;2900 E 15TH AV;496803.1875;5455950.5;49.2563135135;-123.043932494;49.2563135135,-123.043932494
Residential;3400 CROWLEY DRIVE;497647.65625;5453840.5;49.2373374113;-123.032314917;49.2373374113,-123.032314917
Residential;1300-1400 ARBUTUS ST;488903.5625;5457922.5;49.2739597035;-123.152548241;49.2739597035,-123.152548241
Residential;2400 CAMBRIDGE ST;495960.8125;5459332.5;49.2867302544;-123.055543049;49.2867302544,-123.055543049
Residential;800 W 46TH AV;490991.0625;5452936.5;49.2291439528;-123.123738272;49.2291439528,-123.123738272
Residential;4900-5200 ONTARIO ST;492323.28125;5453932.5;49.238121358;-123.105459278;49.238121358,-123.105459278
Residential;500 W 14TH AV;491565.28125;5456226.5;49.2587463924;-123.115920616;49.2587463924,-123.115920616
Residential;1200 E 29TH AV;494189.90625;5454650.0;49.244595998;-123.079826863;49.244595998,-123.079826863
Residential;1000 E 18TH AV;493981.3125;5455752.0;49.2545067106;-123.082709358;49.2545067106,-123.082709358
Residential;1900 E 22ND AV;495216.59375;5455282.5;49.2502943623;-123.065728415;49.2502943623,-123.065728415
Residential;1900 E 22ND AV;495244.5;5455282.0;49.2502900822;-123.065344952;49.2502900822,-123.065344952
Residential;1500 E 22ND AV;494688.96875;5455293.5;49.2503889575;-123.07297861;49.2503889575,-123.07297861
Residential;1500-1600 E 14TH AV;494795.90625;5456113.5;49.2577659499;-123.071519844;49.2577659499,-123.071519844
Residential;1400 W 73RD AV;489898.78125;5450294.0;49.2053569608;-123.138674259;49.2053569608,-123.138674259
Residential;1800-1900 W 75TH AV;488833.5;5450817.0;49.210042997;-123.153313431;49.210042997,-123.153313431
Residential;3100-3300 E 58TH AV;497050.84375;5451600.0;49.2171809507;-123.040497049;49.2171809507,-123.040497049
Residential;3700 PRINCE EDWARD ST;492965.25;5455451.0;49.2517883138;-123.096666876;49.2517883138,-123.096666876
Residential;200 SKEENA ST;497940.28125;5458836.5;49.2822785277;-123.028320735;49.2822785277,-123.028320735
Residential;3600 ASH ST;491391.75;5455552.0;49.2526767147;-123.118290998;49.2526767147,-123.118290998
Residential;2600 PANDORA ST;496316.96875;5458915.0;49.2829770224;-123.050641685;49.2829770224,-123.050641685
Residential;2600 PARKER ST;496365.65625;5458117.0;49.2757991638;-123.04996498;49.2757991638,-123.04996498
Residential;1600 PENTICTON ST;496210.875;5457445.0;49.2697534593;-123.052086548;49.2697534593,-123.052086548
Residential;1000 MCLEAN DRIVE;494585.375;5458069.0;49.2753542196;-123.074439629;49.2753542196,-123.074439629
Residential;400 W 37TH AV;491641.09375;5453826.5;49.2371589289;-123.11482863;49.2371589289,-123.11482863
Residential;4100 GLADSTONE ST;495594.625;5454914.5;49.246986959;-123.060529874;49.246986959,-123.060529874
Residential;4500 YEW ST;488735.03125;5454852.5;49.2463414304;-123.15477873;49.2463414304,-123.15477873
Residential;500 HEATLEY AV;493482.6875;5458532.5;49.2795127206;-123.089606782;49.2795127206,-123.089606782
Residential;4000 TRAFALGAR ST;487970.75;5455344.0;49.2507480202;-123.165294537;49.2507480202,-123.165294537
Residential;2200 ST. GEORGE ST;493237.625;5456923.5;49.2650368167;-123.092948955;49.2650368167,-123.092948955
Residential;1400 E 4TH AV;494579.21875;5457132.0;49.2669256773;-123.074511569;49.2669256773,-123.074511569
Residential;4300 DUMFRIES ST;494654.875;5454826.0;49.2461833951;-123.073440852;49.2461833951,-123.073440852
Residential;1900-2000 CHARLES ST;495362.46875;5457806.5;49.2729993731;-123.0637532;49.2729993731,-123.0637532
Residential;3600 MOSCROP ST;498253.4375;5454422.0;49.2425701714;-123.023995636;49.2425701714,-123.023995636
Residential;3400 BALACLAVA ST;487310.6875;5455907.5;49.2558034705;-123.1743823;49.2558034705,-123.1743823
Residential;3300-3400 W 24TH AV;486980.9375;5455377.5;49.2510290987;-123.178896623;49.2510290987,-123.178896623
Residential;7500 ANGUS DRIVE;489197.8125;5451601.5;49.2171063029;-123.148332637;49.2171063029,-123.148332637
Residential;2100 W 37TH AV;488553.59375;5453961.5;49.2383233377;-123.15724619;49.2383233377,-123.15724619
Residential;2400 OXFORD ST;495915.625;5459217.5;49.2856955102;-123.056163249;49.2856955102,-123.056163249
Residential;5400 CARTIER ST;490019.34375;5453792.0;49.2368243013;-123.137106143;49.2368243013,-123.137106143
Residential;6000 BALACLAVA ST;487197.75;5453137.5;49.2308844329;-123.175845834;49.2308844329,-123.175845834
Residential;3500 NOOTKA ST;496973.0625;5455577.5;49.2529591623;-123.041595152;49.2529591623,-123.041595152
Residential;3500 NOOTKA ST;496973.0;5455531.0;49.2525408843;-123.04159566;49.2525408843,-123.04159566
Residential;1800 SLOCAN ST;496400.375;5457305.5;49.268499775;-123.049480365;49.268499775,-123.049480365
Residential;1400 E 14TH AV;494612.28125;5456116.0;49.2577868482;-123.074043433;49.2577868482,-123.074043433
Residential;3100 DIEPPE DRIVE;498013.96875;5456009.5;49.25684936;-123.027293515;49.25684936,-123.027293515
Residential;700 W 19TH AV;491183.625;5455734.5;49.254315375;-123.121154977;49.254315375,-123.121154977
Residential;700 W 18TH AV;491232.8125;5455833.5;49.2552066064;-123.120481209;49.2552066064,-123.120481209
Residential;3400 WILLOW ST;491114.6875;5455812.5;49.2550160031;-123.122104047;49.2550160031,-123.122104047
Residential;3600 HEATHER ST;491249.875;5455556.5;49.2527151806;-123.120240679;49.2527151806,-123.120240679
Residential;3000 ADANAC ST;497015.34375;5458300.0;49.277448799;-123.04103444;49.277448799,-123.04103444
Residential;3900 SIDNEY ST;495445.96875;5455253.5;49.2500352511;-123.062576264;49.2500352511,-123.062576264
Residential;1300-1400 ARBUTUS ST;488900.53125;5457812.0;49.2729656837;-123.152586847;49.2729656837,-123.152586847
Residential;3100 NEW BRIGHTON ROAD;497221.0;5459593.0;49.2890805245;-123.03821597;49.2890805245,-123.03821597
Residential;2200 W 10TH AV;488631.59375;5456696.5;49.2629266374;-123.156252285;49.2629266374,-123.156252285
Residential;700 MCLEAN DRIVE;494604.9375;5458395.5;49.2782913173;-123.07417509;49.2782913173,-123.07417509
Residential;3300 PRICE ST;497606.0;5454530.0;49.2435394667;-123.032891281;49.2435394667,-123.032891281
Residential;2300 OLIVER CRESCENT;488485.4375;5455409.5;49.2513471072;-123.158224102;49.2513471072,-123.158224102
Residential;1400 E 15TH AV;494620.71875;5455975.5;49.256523096;-123.073925589;49.256523096,-123.073925589
Residential;1300 W 67TH AV;490044.28125;5450901.5;49.2108239652;-123.136691836;49.2108239652,-123.136691836
Residential;1000-1100 W 45TH AV;490500.25;5453065.5;49.2302969202;-123.130482648;49.2302969202,-123.130482648
Residential;100 E 11TH AV;492595.71875;5456488.5;49.2611164743;-123.101763906;49.2611164743,-123.101763906
Residential;2800 KITCHENER ST;496759.5;5457726.0;49.2722842611;-123.044547248;49.2722842611,-123.044547248
Residential;2800 KITCHENER ST;496660.21875;5457726.5;49.2722882244;-123.045912074;49.2722882244,-123.045912074
Residential;2200 KITCHENER ST;495618.875;5457702.5;49.272065765;-123.060227188;49.272065765,-123.060227188
Residential;2100 CHARLES ST;495574.09375;5457803.5;49.2729739561;-123.060843911;49.2729739561,-123.060843911
Residential;1900-2000 CHARLES ST;495481.375;5457805.0;49.2729867707;-123.062118553;49.2729867707,-123.062118553
Residential;1600 E 60TH AV;494681.6875;5451407.0;49.2154288768;-123.073027109;49.2154288768,-123.073027109
Residential;1300 W 73RD AV;490098.375;5450184.5;49.204375236;-123.13593145;49.204375236,-123.13593145
Residential;5400 MELBOURNE ST;497869.0;5453516.0;49.2344192645;-123.029272521;49.2344192645,-123.029272521
Residential;2300 PANDORA ST;495816.8125;5458917.0;49.2829917942;-123.057518851;49.2829917942,-123.057518851
Residential;2300 E 37TH AV;495741.84375;5453849.0;49.2374035808;-123.058495767;49.2374035808,-123.058495767
Residential;3400 BALACLAVA ST;487311.21875;5455967.5;49.2563431919;-123.174376901;49.2563431919,-123.174376901
Residential;3400 MACKENZIE ST;487622.84375;5455950.5;49.2561966582;-123.170093857;49.2561966582,-123.170093857
Residential;7700 FREMLIN ST;490733.03125;5451404.0;49.2153548873;-123.127246938;49.2153548873,-123.127246938
Residential;7500 FREMLIN ST;490735.75;5451515.0;49.2163534019;-123.127212169;49.2163534019,-123.127212169
Residential;5100-5300 RHODES ST;496328.59375;5453781.0;49.2367957046;-123.050434759;49.2367957046,-123.050434759
Residential;1000 E 17TH AV;493983.875;5455853.0;49.2554152518;-123.082675662;49.2554152518,-123.082675662
Residential;400 E 11TH AV;493161.5625;5456437.0;49.2606598097;-123.093986122;49.2606598097,-123.093986122
Residential;6600 COMMERCIAL ST;494972.8125;5452370.0;49.2240937758;-123.069041666;49.2240937758,-123.069041666
Residential;7400 ROSS ST;493947.28125;5451591.0;49.2170771906;-123.083114194;49.2170771906,-123.083114194
Arterial;2400-2800 E KENT AV SOUTH;496207.53125;5450340.5;49.2058467533;-123.052065294;49.2058467533,-123.052065294
Residential;700 W 22ND AV;491151.46875;5455434.0;49.2516118532;-123.121590229;49.2516118532,-123.121590229
Residential;0 E 30TH AV;492410.78125;5454512.0;49.2433351817;-123.104268218;49.2433351817,-123.104268218
Residential;0 E 30TH AV;492457.71875;5454510.5;49.2433222691;-123.103623317;49.2433222691,-123.103623317
Residential;5700-5800 ROSS ST;493985.75;5453208.5;49.2316273957;-123.082610204;49.2316273957,-123.082610204
Residential;0 W 42ND AV;492192.875;5453281.5;49.2322638125;-123.107238058;49.2322638125,-123.107238058
Collector;4300-4400 PUGET DRIVE;487843.375;5454933.0;49.2470484804;-123.167032323;49.2470484804,-123.167032323
Residential;4100-4200 MARGUERITE ST;489469.46875;5455056.5;49.2481895299;-123.144693082;49.2481895299,-123.144693082
Residential;100 E 11TH AV;492547.125;5456490.0;49.2611293769;-123.102431802;49.2611293769,-123.102431802
Residential;2800 E 4TH AV;496638.375;5457102.5;49.2666751052;-123.046207118;49.2666751052,-123.046207118
Residential;4300 ST. GEORGE ST;493149.6875;5454850.5;49.2463887803;-123.094122193;49.2463887803,-123.094122193
Residential;500-600 BEACH CRESCENT;490519.0625;5457898.5;49.2737710063;-123.130338656;49.2737710063,-123.130338656
Residential;4400 BELMONT AV;484926.375;5457900.0;49.2736721909;-123.20722344;49.2736721909,-123.20722344
Residential;4700-4800 WINDSOR ST;493877.75;5454190.5;49.2404596482;-123.08410866;49.2404596482,-123.08410866
Residential;5300 COMMERCIAL ST;495002.40625;5453635.0;49.2354730095;-123.068651001;49.2354730095,-123.068651001
Residential;3600-3800 COMMERCIAL ST;495046.90625;5455398.5;49.2513364574;-123.068061511;49.2513364574,-123.068061511
Residential;3300-3400 WORTHINGTON DRIVE;497722.78125;5455774.0;49.2547299723;-123.03129389;49.2547299723,-123.03129389
Residential;1200-1300 BIDWELL ST;489665.96875;5459149.0;49.2850056186;-123.142098792;49.2850056186,-123.142098792
Residential;4600 CARNARVON ST;487410.09375;5454646.0;49.2444581;-123.172976572;49.2444581,-123.172976572
Residential;4800 WALLACE ST;486104.71875;5454499.0;49.2431075622;-123.190906321;49.2431075622,-123.190906321
Residential;1600 PENTICTON ST;496211.40625;5457496.5;49.2702167149;-123.052079733;49.2702167149,-123.052079733
Residential;400 E 63RD AV;493097.53125;5451165.0;49.2132362215;-123.094775374;49.2132362215,-123.094775374
Residential;1100-1200 E 11TH AV;494096.09375;5456424.5;49.2605571038;-123.081141941;49.2605571038,-123.081141941
Residential;5600 CARTIER ST;490013.15625;5453536.0;49.2345214236;-123.137184764;49.2345214236,-123.137184764
Residential;7500 PRINCE ALBERT ST;493600.75;5451452.5;49.2158278242;-123.087870447;49.2158278242,-123.087870447
Residential;2400 OXFORD ST;495986.4375;5459217.5;49.2856959793;-123.055189524;49.2856959793,-123.055189524
Residential;1300 GARDEN DRIVE;495783.6875;5457725.5;49.272273813;-123.057961759;49.272273813,-123.057961759
Residential;3000 E PENDER ST;497080.5625;5458606.5;49.2802061359;-123.04014002;49.2802061359,-123.04014002
Residential;6600 COMMERCIAL ST;494971.78125;5452324.5;49.2236844831;-123.069055258;49.2236844831,-123.069055258
Residential;200 SLOCAN ST;496412.4375;5458889.5;49.2827482134;-123.049328761;49.2827482134,-123.049328761
Residential;2600 TURNER ST;496248.5;5458482.5;49.2790861938;-123.051579072;49.2790861938,-123.051579072
Residential;3300 CAMOSUN ST;485696.21875;5456019.5;49.2567753108;-123.196572935;49.2567753108,-123.196572935
Residential;4100 LILLOOET ST;497154.1875;5454991.0;49.2476843336;-123.039102027;49.2476843336,-123.039102027
Residential;1500 E 15TH AV;494722.3125;5455969.5;49.2564700096;-123.072529344;49.2564700096,-123.072529344
Residential;500-600 E 51ST AV;493266.90625;5452316.5;49.2235961513;-123.09246907;49.2235961513,-123.09246907
Residential;2500 W 43RD AV;488121.40625;5453352.5;49.2328370201;-123.163165341;49.2328370201,-123.163165341
Residential;3800 PRINCE EDWARD ST;492962.71875;5455350.5;49.250884266;-123.096699893;49.250884266,-123.096699893
Residential;3800 SOPHIA ST;492820.375;5455304.0;49.2504643351;-123.098655015;49.2504643351,-123.098655015
Residential;3800 POINT GREY ROAD;486185.375;5457654.5;49.2714936285;-123.189907066;49.2714936285,-123.189907066
Residential;4200 ST. GEORGE ST;493151.40625;5454946.5;49.2472523405;-123.094100219;49.2472523405,-123.094100219
Residential;400 E 24TH AV;493057.15625;5455172.5;49.2492841971;-123.095399136;49.2492841971,-123.095399136
Residential;2800 E 45TH AV;496673.375;5452949.0;49.2293136284;-123.045691537;49.2293136284,-123.045691537
Residential;2900 E 45TH AV;496776.03125;5452948.0;49.2293051822;-123.044281535;49.2293051822,-123.044281535
Residential;6200 RALEIGH ST;496531.34375;5452725.0;49.227297903;-123.047640413;49.227297903,-123.047640413
Residential;2400-2500 E 46TH AV;495927.75;5452857.0;49.2284815603;-123.055931834;49.2284815603,-123.055931834
Residential;4100 DUMFRIES ST;494660.6875;5455058.0;49.2482703374;-123.073364082;49.2482703374,-123.073364082
Residential;4200 DUMFRIES ST;494657.375;5454930.0;49.2471189202;-123.07340789;49.2471189202,-123.07340789
Residential;4600-4700 HAGGART ST;488422.375;5454631.0;49.2443431589;-123.159068155;49.2443431589,-123.159068155
Residential;5000 DUMFRIES ST;494609.0625;5454042.5;49.2391352314;-123.074059765;49.2391352314,-123.074059765
Residential;3000 ALDER ST;490427.375;5456157.0;49.2581044781;-123.131557467;49.2581044781,-123.131557467
Residential;1900 W 45TH AV;489022.875;5453122.5;49.230784945;-123.150776442;49.230784945,-123.150776442
Residential;1700 E 22ND AV;495019.75;5455286.0;49.2503242751;-123.068433272;49.2503242751,-123.068433272
Collector;5400 CAMOSUN ST;485668.375;5453859.5;49.237345078;-123.196878314;49.237345078,-123.196878314
Residential;1900 E PENDER ST;495299.9375;5458614.5;49.2802669991;-123.064622325;49.2802669991,-123.064622325
Residential;3500 CROWLEY DRIVE;497933.625;5453649.5;49.2356203516;-123.028385486;49.2356203516,-123.028385486
Residential;2500-2800 SLOCAN ST;496394.25;5456200.5;49.2585600424;-123.049554605;49.2585600424,-123.049554605
Residential;7900 EAST BOULEVARD;489316.1875;5451195.5;49.2134563074;-123.146696342;49.2134563074,-123.146696342
Residential;6900 ARGYLE ST;494759.15625;5451933.5;49.2201655531;-123.071970243;49.2201655531,-123.071970243
Residential;2600 WALL ST;496319.34375;5459911.0;49.291936219;-123.050618199;49.291936219,-123.050618199
Residential;1300 W 37TH AV;490108.5625;5453914.5;49.2379276637;-123.135883554;49.2379276637,-123.135883554
Residential;3700 CROWN ST;485912.90625;5455663.5;49.2535780601;-123.193582553;49.2535780601,-123.193582553
Residential;6300 RALEIGH ST;496526.9375;5452595.5;49.226132992;-123.047699809;49.226132992,-123.047699809
Residential;500 W 21ST AV;491472.0625;5455524.5;49.2524304714;-123.117186794;49.2524304714,-123.117186794
Residential;3400 EUCLID AV;497572.5625;5453729.5;49.236338646;-123.033345832;49.236338646,-123.033345832
Residential;6200-6300 TISDALL ST;491138.96875;5452828.0;49.2281701276;-123.121704379;49.2281701276,-123.121704379
Residential;1000 WOLFE AV;490653.8125;5455625.5;49.2533270343;-123.128433119;49.2533270343,-123.128433119
